xi,theta,phi
0.263100,0.988416,-0.087421
0.264100,0.988328,-0.087747
0.265100,0.988240,-0.088074
0.266100,0.988152,-0.088400
0.267100,0.988063,-0.088726
0.268100,0.987974,-0.089052
0.269100,0.987885,-0.089378
0.270100,0.987796,-0.089704
0.271100,0.987706,-0.090030
0.272100,0.987616,-0.090356
0.273100,0.987525,-0.090682
0.274100,0.987434,-0.091008
0.275100,0.987343,-0.091334
0.276100,0.987252,-0.091659
0.277100,0.987160,-0.091985
0.278100,0.987068,-0.092311
0.279100,0.986975,-0.092636
0.280100,0.986882,-0.092962
0.281100,0.986789,-0.093287
0.282100,0.986696,-0.093613
0.283100,0.986602,-0.093938
0.284100,0.986508,-0.094263
0.285100,0.986414,-0.094588
0.286100,0.986319,-0.094913
0.287100,0.986224,-0.095239
0.288100,0.986128,-0.095564
0.289100,0.986033,-0.095889
0.290100,0.985937,-0.096214
0.291100,0.985840,-0.096538
0.292100,0.985743,-0.096863
0.293100,0.985646,-0.097188
0.294100,0.985549,-0.097513
0.295100,0.985451,-0.097837
0.296100,0.985353,-0.098162
0.297100,0.985255,-0.098486
0.298100,0.985156,-0.098811
0.299100,0.985057,-0.099135
0.300100,0.984958,-0.099460
0.301100,0.984859,-0.099784
0.302100,0.984759,-0.100108
0.303100,0.984658,-0.100432
0.304100,0.984558,-0.100756
0.305100,0.984457,-0.101081
0.306100,0.984356,-0.101404
0.307100,0.984254,-0.101728
0.308100,0.984152,-0.102052
0.309100,0.984050,-0.102376
0.310100,0.983947,-0.102700
0.311100,0.983844,-0.103023
0.312100,0.983741,-0.103347
0.313100,0.983638,-0.103671
0.314100,0.983534,-0.103994
0.315100,0.983430,-0.104318
0.316100,0.983325,-0.104641
0.317100,0.983221,-0.104964
0.318100,0.983115,-0.105288
0.319100,0.983010,-0.105611
0.320100,0.982904,-0.105934
0.321100,0.982798,-0.106257
0.322100,0.982692,-0.106580
0.323100,0.982585,-0.106903
0.324100,0.982478,-0.107226
0.325100,0.982370,-0.107548
0.326100,0.982263,-0.107871
0.327100,0.982155,-0.108194
0.328100,0.982046,-0.108516
0.329100,0.981938,-0.108839
0.330100,0.981829,-0.109161
0.331100,0.981719,-0.109484
0.332100,0.981610,-0.109806
0.333100,0.981500,-0.110129
0.334100,0.981389,-0.110451
0.335100,0.981279,-0.110773
0.336100,0.981168,-0.111095
0.337100,0.981057,-0.111417
0.338100,0.980945,-0.111739
0.339100,0.980833,-0.112061
0.340100,0.980721,-0.112383
0.341100,0.980608,-0.112704
0.342100,0.980496,-0.113026
0.343100,0.980382,-0.113348
0.344100,0.980269,-0.113669
0.345100,0.980155,-0.113991
0.346100,0.980041,-0.114312
0.347100,0.979926,-0.114633
0.348100,0.979812,-0.114955
0.349100,0.979696,-0.115276
0.350100,0.979581,-0.115597
0.351100,0.979465,-0.115918
0.352100,0.979349,-0.116239
0.353100,0.979233,-0.116560
0.354100,0.979116,-0.116881
0.355100,0.978999,-0.117202
0.356100,0.978882,-0.117522
0.357100,0.978764,-0.117843
0.358100,0.978646,-0.118164
0.359100,0.978528,-0.118484
0.360100,0.978409,-0.118804
0.361100,0.978290,-0.119125
0.362100,0.978171,-0.119445
0.363100,0.978051,-0.119765
0.364100,0.977931,-0.120085
0.365100,0.977811,-0.120406
0.366100,0.977690,-0.120726
0.367100,0.977570,-0.121045
0.368100,0.977448,-0.121365
0.369100,0.977327,-0.121685
0.370100,0.977205,-0.122005
0.371100,0.977083,-0.122324
0.372100,0.976960,-0.122644
0.373100,0.976838,-0.122964
0.374100,0.976714,-0.123283
0.375100,0.976591,-0.123602
0.376100,0.976467,-0.123922
0.377100,0.976343,-0.124241
0.378100,0.976219,-0.124560
0.379100,0.976094,-0.124879
0.380100,0.975969,-0.125198
0.381100,0.975844,-0.125517
0.382100,0.975718,-0.125836
0.383100,0.975592,-0.126154
0.384100,0.975466,-0.126473
0.385100,0.975339,-0.126792
0.386100,0.975212,-0.127110
0.387100,0.975085,-0.127429
0.388100,0.974957,-0.127747
0.389100,0.974829,-0.128065
