massa,raggio
3.08106e+30,32696.3
3.08136e+30,32695.3
3.08166e+30,32694.2
3.08196e+30,32693.2
3.08225e+30,32692.1
3.08255e+30,32691
3.08285e+30,32690
3.08315e+30,32688.9
3.08345e+30,32687.9
3.08375e+30,32686.8
3.08404e+30,32685.8
3.08434e+30,32684.7
3.08464e+30,32683.7
3.08494e+30,32682.6
3.08524e+30,32681.6
3.08554e+30,32680.5
3.08583e+30,32679.5
3.08613e+30,32678.4
3.08643e+30,32677.3
3.08673e+30,32676.3
3.08703e+30,32675.2
3.08733e+30,32674.2
3.08762e+30,32673.1
3.08792e+30,32672.1
3.08822e+30,32671
3.08852e+30,32670
3.08882e+30,32668.9
3.08912e+30,32667.9
3.08941e+30,32666.8
3.08971e+30,32665.8
3.09001e+30,32664.7
3.09031e+30,32663.7
3.09061e+30,32662.6
3.09091e+30,32661.6
3.0912e+30,32660.5
3.0915e+30,32659.5
3.0918e+30,32658.4
3.0921e+30,32657.4
3.0924e+30,32656.3
3.0927e+30,32655.3
3.09299e+30,32654.2
3.09329e+30,32653.2
3.09359e+30,32652.1
3.09389e+30,32651.1
3.09419e+30,32650
3.09449e+30,32649
3.09478e+30,32647.9
3.09508e+30,32646.9
3.09538e+30,32645.8
3.09568e+30,32644.8
3.09598e+30,32643.7
3.09628e+30,32642.7
3.09657e+30,32641.6
3.09687e+30,32640.6
3.09717e+30,32639.5
3.09747e+30,32638.5
3.09777e+30,32637.4
3.09807e+30,32636.4
3.09836e+30,32635.3
3.09866e+30,32634.3
3.09896e+30,32633.2
3.09926e+30,32632.2
3.09956e+30,32631.2
3.09986e+30,32630.1
3.10015e+30,32629.1
3.10045e+30,32628
3.10075e+30,32627
3.10105e+30,32625.9
3.10135e+30,32624.9
3.10165e+30,32623.8
3.10194e+30,32622.8
3.10224e+30,32621.7
3.10254e+30,32620.7
3.10284e+30,32619.6
3.10314e+30,32618.6
3.10344e+30,32617.6
3.10374e+30,32616.5
3.10403e+30,32615.5
3.10433e+30,32614.4
3.10463e+30,32613.4
3.10493e+30,32612.3
3.10523e+30,32611.3
3.10553e+30,32610.2
3.10582e+30,32609.2
3.10612e+30,32608.1
3.10642e+30,32607.1
3.10672e+30,32606.1
3.10702e+30,32605
3.10732e+30,32604
3.10761e+30,32602.9
3.10791e+30,32601.9
3.10821e+30,32600.8
3.10851e+30,32599.8
3.10881e+30,32598.8
3.10911e+30,32597.7
3.1094e+30,32596.7
3.1097e+30,32595.6
3.11e+30,32594.6
3.1103e+30,32593.5
3.1106e+30,32592.5
3.1109e+30,32591.5
3.11119e+30,32590.4
3.11149e+30,32589.4
3.11179e+30,32588.3
3.11209e+30,32587.3
3.11239e+30,32586.3
3.11269e+30,32585.2
3.11298e+30,32584.2
3.11328e+30,32583.1
3.11358e+30,32582.1
3.11388e+30,32581
3.11418e+30,32580
3.11448e+30,32579
3.11477e+30,32577.9
3.11507e+30,32576.9
3.11537e+30,32575.8
3.11567e+30,32574.8
3.11597e+30,32573.8
3.11627e+30,32572.7
3.11656e+30,32571.7
3.11686e+30,32570.7
3.11716e+30,32569.6
3.11746e+30,32568.6
3.11776e+30,32567.5
3.11806e+30,32566.5
3.11835e+30,32565.5
3.11865e+30,32564.4
3.11895e+30,32563.4
3.11925e+30,32562.3
3.11955e+30,32561.3
3.11985e+30,32560.3
3.12014e+30,32559.2
3.12044e+30,32558.2
3.12074e+30,32557.2
3.12104e+30,32556.1
3.12134e+30,32555.1
3.12164e+30,32554
3.12193e+30,32553
3.12223e+30,32552
3.12253e+30,32550.9
3.12283e+30,32549.9
3.12313e+30,32548.9
3.12343e+30,32547.8
3.12372e+30,32546.8
3.12402e+30,32545.7
3.12432e+30,32544.7
3.12462e+30,32543.7
3.12492e+30,32542.6
3.12522e+30,32541.6
3.12551e+30,32540.6
3.12581e+30,32539.5
3.12611e+30,32538.5
3.12641e+30,32537.5
3.12671e+30,32536.4
3.12701e+30,32535.4
3.1273e+30,32534.4
3.1276e+30,32533.3
3.1279e+30,32532.3
3.1282e+30,32531.3
3.1285e+30,32530.2
3.1288e+30,32529.2
3.12909e+30,32528.2
3.12939e+30,32527.1
3.12969e+30,32526.1
3.12999e+30,32525.1
3.13029e+30,32524
3.13059e+30,32523
3.13088e+30,32522
3.13118e+30,32520.9
3.13148e+30,32519.9
3.13178e+30,32518.9
3.13208e+30,32517.8
3.13238e+30,32516.8
3.13267e+30,32515.8
3.13297e+30,32514.7
3.13327e+30,32513.7
3.13357e+30,32512.7
3.13387e+30,32511.6
3.13417e+30,32510.6
3.13447e+30,32509.6
3.13476e+30,32508.5
3.13506e+30,32507.5
3.13536e+30,32506.5
3.13566e+30,32505.4
3.13596e+30,32504.4
3.13626e+30,32503.4
3.13655e+30,32502.3
3.13685e+30,32501.3
3.13715e+30,32500.3
3.13745e+30,32499.3
3.13775e+30,32498.2
3.13805e+30,32497.2
3.13834e+30,32496.2
3.13864e+30,32495.1
3.13894e+30,32494.1
3.13924e+30,32493.1
3.13954e+30,32492
3.13984e+30,32491
3.14013e+30,32490
3.14043e+30,32489
3.14073e+30,32487.9
3.14103e+30,32486.9
3.14133e+30,32485.9
3.14163e+30,32484.8
3.14192e+30,32483.8
3.14222e+30,32482.8
3.14252e+30,32481.8
3.14282e+30,32480.7
3.14312e+30,32479.7
3.14342e+30,32478.7
3.14371e+30,32477.7
3.14401e+30,32476.6
3.14431e+30,32475.6
3.14461e+30,32474.6
3.14491e+30,32473.5
3.14521e+30,32472.5
3.1455e+30,32471.5
3.1458e+30,32470.5
3.1461e+30,32469.4
3.1464e+30,32468.4
3.1467e+30,32467.4
3.147e+30,32466.4
3.14729e+30,32465.3
3.14759e+30,32464.3
3.14789e+30,32463.3
3.14819e+30,32462.3
3.14849e+30,32461.2
3.14879e+30,32460.2
3.14908e+30,32459.2
3.14938e+30,32458.2
3.14968e+30,32457.1
3.14998e+30,32456.1
3.15028e+30,32455.1
3.15058e+30,32454.1
3.15087e+30,32453
3.15117e+30,32452
3.15147e+30,32451
3.15177e+30,32450
3.15207e+30,32448.9
3.15237e+30,32447.9
3.15266e+30,32446.9
3.15296e+30,32445.9
3.15326e+30,32444.8
3.15356e+30,32443.8
3.15386e+30,32442.8
3.15416e+30,32441.8
3.15445e+30,32440.8
3.15475e+30,32439.7
